ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
NaMeoTuyenQuang-96_elbow-1,,NaMeoTuyenQuang,96_elbow,ɣəu⁵³pai⁵³,ɣəu⁵³pai⁵³,ɣ əu ⁵³ + p ai ⁵³,,Hsiu2015,,
NaMeoTuyenQuang-97_embers-1,,NaMeoTuyenQuang,97_embers,[ŋɛ¹¹]tɔ⁵³tɕhin³⁵,tɔ⁵³tɕhin³⁵,t ɔ ⁵³ + tɕ h i n ³⁵,,Hsiu2015,,
Zhenmin-98_evening-1,,Zhenmin,98_evening,mɑŋ⁴⁴/5,mɑŋ⁴⁴,m ɑ ŋ ⁴⁴,,Chen2013,,
NorthernQiandong-98_evening-1,,NorthernQiandong,98_evening,ɕʰi³³m̥ aŋ⁴⁴,ɕʰi³³m̥ aŋ⁴⁴,ɕʰ i ³³ + m̥ + a ŋ ⁴⁴,,Chen2013,,
WesternQiandong-98_evening-1,,WesternQiandong,98_evening,ʑi³³maŋ³³,ʑi³³maŋ³³,ʑ i ³³ + m a ŋ ³³,,Chen2013,,
Baixing-98_evening-1,,Baixing,98_evening,maŋ³³/5,maŋ³³,m a ŋ ³³,,Li2000,,
SouthernQiandong-98_evening-1,,SouthernQiandong,98_evening,tɕeu³⁵,tɕeu³⁵,tɕ eu ³⁵,,Chen2013,,
Datu-98_evening-1,,Datu,98_evening,m̥ ɑi⁴⁴/5,m̥ ɑi⁴⁴,m̥ + ɑi ⁴⁴,,Li2000,,
Xiangao-98_evening-1,,Xiangao,98_evening,maŋ³⁵/5,maŋ³⁵,m a ŋ ³⁵,,Li2000,,
NaMeoCaoBang-98_evening-1,,NaMeoCaoBang,98_evening,mɑŋ³⁵,mɑŋ³⁵,m ɑ ŋ ³⁵,,Edmondson2001,,
Yangpai-98_evening-1,,Yangpai,98_evening,mɑŋ²¹/5,mɑŋ²¹,m ɑ ŋ ²¹,,Li2000,,
EasternQiandong-98_evening-1,,EasternQiandong,98_evening,ɕi⁴⁴maŋ⁴⁴,ɕi⁴⁴maŋ⁴⁴,ɕ i ⁴⁴ + m a ŋ ⁴⁴,,Chen2013,,
NaMeoTuyenQuang-98_evening-1,,NaMeoTuyenQuang,98_evening,tjoŋ³³maŋ³⁵,tjoŋ³³maŋ³⁵,t j o ŋ ³³ + m a ŋ ³⁵,,Hsiu2015,,
Zhenmin-99_eye-1,,Zhenmin,99_eye,mɑ²¹/4,mɑ²¹,m ɑ ²¹,,Chen2013,,
NorthernQiandong-99_eye-1,,NorthernQiandong,99_eye,n̥ju³³mɛ¹³,n̥ju³³mɛ¹³,n̥ j u ³³ + m ɛ ¹³,,Chen2013,,
WesternQiandong-99_eye-1,,WesternQiandong,99_eye,pei¹³me²²,pei¹³me²²,p e i ¹³ m e ²²,,Chen2013,,
Baixing-99_eye-1,,Baixing,99_eye,mei⁴²/4,mei⁴²,m e i ⁴²,,Li2000,,
SouthernQiandong-99_eye-1,,SouthernQiandong,99_eye,n̥ju¹³mo²²,n̥ju¹³mo²²,n̥ j u ¹³ m o ²²,,Chen2013,,
Datu-99_eye-1,,Datu,99_eye,mu²¹/4,mu²¹,m u ²¹,,Li2000,,
Xiangao-99_eye-1,,Xiangao,99_eye,ma¹²/4,ma¹²,m a ¹²,,Li2000,,
NaMeoCaoBang-99_eye-1,,NaMeoCaoBang,99_eye,tsẽi⁴⁵³mɑ²²,tsẽi⁴⁵³mɑ²²,ts ẽ i ⁴⁵³ m ɑ ²²,,Edmondson2001,,
Yangpai-99_eye-1,,Yangpai,99_eye,mi²²/4,mi²²,m i ²²,,Li2000,,
Guncen-99_eye-1,,Guncen,99_eye,tsəi3ma6,tsəi3ma6,ts əi ³ + m a ⁶/¹³,,Committee2008,,
EasternQiandong-99_eye-1,,EasternQiandong,99_eye,qa³³mi⁵³,qa³³mi⁵³,q a ³³ + m i ⁵³,,Chen2013,,
NaMeoTuyenQuang-99_eye-1,,NaMeoTuyenQuang,99_eye,tɕei⁵⁵ma³³,tɕei⁵⁵ma³³,tɕ e i ⁵⁵ + m a ³³,,Hsiu2015,,
NaMeoTuyenQuang-100_face-1,,NaMeoTuyenQuang,100_face,tɕei⁵⁵ma¹¹,tɕei⁵⁵ma¹¹,tɕ e i ⁵⁵ + m a ¹¹,,Hsiu2015,,
NaMeoTuyenQuang-101_fall-1,,NaMeoTuyenQuang,101_fall,pa⁵⁵,pa⁵⁵,p a ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-102_family-1,,NaMeoTuyenQuang,102_family,tɕõ³³tɕai⁵⁵,tɕõ³³tɕai⁵⁵,tɕ õ ³³ + tɕ ai ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-103_far-1,,NaMeoTuyenQuang,103_far,qui⁵⁵,qui⁵⁵,q u i ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-104_fat-1,,NaMeoTuyenQuang,104_fat,maŋ⁵³,maŋ⁵³,m a ŋ ⁵³,,Hsiu2015,,
NaMeoTuyenQuang-105_fear-1,,NaMeoTuyenQuang,105_fear,qhai⁵³,qhai⁵³,qʰ ai ⁵³,,Hsiu2015,,
Zhenmin-106_field-1,,Zhenmin,106_field,ljɑŋ⁵³/2,ljɑŋ⁵³,l j ɑ ŋ ⁵³,,Chen2013,,
NorthernQiandong-106_field-1,,NorthernQiandong,106_field,lji⁵⁵,lji⁵⁵,l j i ⁵⁵,,Chen2013,,
